_start meta data
_update_action,SKU_Oferta,SKU_Conteudo
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_padrao_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_padrao_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_padrao_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_padrao_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_padrao_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_padrao_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_padrao_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_padrao_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_padrao_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_padrao_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_po_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_po_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_po_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_po_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_po_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_po_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_po_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_po_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_po_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_po_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_po_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_po_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_po_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_po_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_po_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_po_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_po_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_top_fid_po_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_guer_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_guer_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_guer_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
